route_id,service_id,trip_id,direction_id
KA15_KD19,komuter_weekday,weekday_2103,0
KA15_KD19,komuter_weekday,weekday_2105,0
KA15_KD19,komuter_weekday,weekday_2107,0
KA15_KD19,komuter_weekday,weekday_2109,0
KA15_KD19,komuter_weekday,weekday_2111,0
KA15_KD19,komuter_weekday,weekday_2113,0
KA15_KD19,komuter_weekday,weekday_2115,0
KA15_KD19,komuter_weekday,weekday_2119,0
KA15_KD19,komuter_weekday,weekday_2127,0
KA15_KD19,komuter_weekday,weekday_2131,0
KA15_KD19,komuter_weekday,weekday_2135,0
KA15_KD19,komuter_weekday,weekday_2139,0
KA15_KD19,komuter_weekday,weekday_2143,0
KA15_KD19,komuter_weekday,weekday_2147,0
KA15_KD19,komuter_weekday,weekday_2151,0
KA15_KD19,komuter_weekday,weekday_2155,0
KA15_KD19,komuter_weekday,weekday_2157,0
KA15_KD19,komuter_weekday,weekday_2159,0
KA15_KD19,komuter_weekday,weekday_2163,0
KA15_KD19,komuter_weekday,weekday_2165,0
KA15_KD19,komuter_weekday,weekday_2167,0
KA15_KD19,komuter_weekday,weekday_2169,0
KA15_KD19,komuter_weekday,weekday_2171,0
KA15_KD19,komuter_weekday,weekday_2175,0
KA15_KD19,komuter_weekday,weekday_2179,0
KA15_KD19,komuter_weekday,weekday_2183,0
KA15_KD19,komuter_weekday,weekday_2102,1
KA15_KD19,komuter_weekday,weekday_2104,1
KA15_KD19,komuter_weekday,weekday_2106,1
KA15_KD19,komuter_weekday,weekday_2108,1
KA15_KD19,komuter_weekday,weekday_2110,1
KA15_KD19,komuter_weekday,weekday_2112,1
KA15_KD19,komuter_weekday,weekday_2116,1
KA15_KD19,komuter_weekday,weekday_2118,1
KA15_KD19,komuter_weekday,weekday_2126,1
KA15_KD19,komuter_weekday,weekday_2130,1
KA15_KD19,komuter_weekday,weekday_2134,1
KA15_KD19,komuter_weekday,weekday_2138,1
KA15_KD19,komuter_weekday,weekday_2142,1
KA15_KD19,komuter_weekday,weekday_2146,1
KA15_KD19,komuter_weekday,weekday_2150,1
KA15_KD19,komuter_weekday,weekday_2154,1
KA15_KD19,komuter_weekday,weekday_2156,1
KA15_KD19,komuter_weekday,weekday_2158,1
KA15_KD19,komuter_weekday,weekday_2160,1
KA15_KD19,komuter_weekday,weekday_2162,1
KA15_KD19,komuter_weekday,weekday_2164,1
KA15_KD19,komuter_weekday,weekday_2166,1
KA15_KD19,komuter_weekday,weekday_2170,1
KA15_KD19,komuter_weekday,weekday_2174,1
KA15_KD19,komuter_weekday,weekday_2178,1
KA15_KD19,komuter_weekday,weekday_2182,1
KC05_KB18,komuter_weekday,weekday_2003,0
KC05_KB18,komuter_weekday,weekday_2007,0
KC05_KB18,komuter_weekday,weekday_2011,0
KC05_KB18,komuter_weekday,weekday_2013,0
KC05_KB18,komuter_weekday,weekday_2015,0
KC05_KB18,komuter_weekday,weekday_2017,0
KC05_KB18,komuter_weekday,weekday_2019,0
KC05_KB18,komuter_weekday,weekday_2021,0
KC05_KB18,komuter_weekday,weekday_2025,0
KC05_KB18,komuter_weekday,weekday_2027,0
KC05_KB18,komuter_weekday,weekday_2031,0
KC05_KB18,komuter_weekday,weekday_2035,0
KC05_KB18,komuter_weekday,weekday_2039,0
KC05_KB18,komuter_weekday,weekday_2045,0
KC05_KB18,komuter_weekday,weekday_2049,0
KC05_KB18,komuter_weekday,weekday_2053,0
KC05_KB18,komuter_weekday,weekday_2603,0
KC05_KB18,komuter_weekday,weekday_2057,0
KC05_KB18,komuter_weekday,weekday_2059,0
KC05_KB18,komuter_weekday,weekday_2061,0
KC05_KB18,komuter_weekday,weekday_2063,0
KC05_KB18,komuter_weekday,weekday_2067,0
KC05_KB18,komuter_weekday,weekday_2071,0
KC05_KB18,komuter_weekday,weekday_2002,1
KC05_KB18,komuter_weekday,weekday_2004,1
KC05_KB18,komuter_weekday,weekday_2602,1
KC05_KB18,komuter_weekday,weekday_2008,1
KC05_KB18,komuter_weekday,weekday_2010,1
KC05_KB18,komuter_weekday,weekday_2012,1
KC05_KB18,komuter_weekday,weekday_2014,1
KC05_KB18,komuter_weekday,weekday_2016,1
KC05_KB18,komuter_weekday,weekday_2018,1
KC05_KB18,komuter_weekday,weekday_2020,1
KC05_KB18,komuter_weekday,weekday_2024,1
KC05_KB18,komuter_weekday,weekday_2028,1
KC05_KB18,komuter_weekday,weekday_2032,1
KC05_KB18,komuter_weekday,weekday_2036,1
KC05_KB18,komuter_weekday,weekday_2040,1
KC05_KB18,komuter_weekday,weekday_2046,1
KC05_KB18,komuter_weekday,weekday_2048,1
KC05_KB18,komuter_weekday,weekday_2050,1
KC05_KB18,komuter_weekday,weekday_2054,1
KC05_KB18,komuter_weekday,weekday_2058,1
KC05_KB18,komuter_weekday,weekday_2062,1
KC05_KB18,komuter_weekday,weekday_2066,1
KC05_KB18,komuter_weekday,weekday_2070,1
KA15_KD19,komuter_weekend,weekend_2303,0
KA15_KD19,komuter_weekend,weekend_2307,0
KA15_KD19,komuter_weekend,weekend_2311,0
KA15_KD19,komuter_weekend,weekend_2315,0
KA15_KD19,komuter_weekend,weekend_2319,0
KA15_KD19,komuter_weekend,weekend_2327,0
KA15_KD19,komuter_weekend,weekend_2331,0
KA15_KD19,komuter_weekend,weekend_2335,0
KA15_KD19,komuter_weekend,weekend_2339,0
KA15_KD19,komuter_weekend,weekend_2343,0
KA15_KD19,komuter_weekend,weekend_2347,0
KA15_KD19,komuter_weekend,weekend_2351,0
KA15_KD19,komuter_weekend,weekend_2355,0
KA15_KD19,komuter_weekend,weekend_2359,0
KA15_KD19,komuter_weekend,weekend_2363,0
KA15_KD19,komuter_weekend,weekend_2367,0
KA15_KD19,komuter_weekend,weekend_2371,0
KA15_KD19,komuter_weekend,weekend_2375,0
KA15_KD19,komuter_weekend,weekend_2379,0
KA15_KD19,komuter_weekend,weekend_2383,0
KA15_KD19,komuter_weekend,weekend_2302,1
KA15_KD19,komuter_weekend,weekend_2306,1
KA15_KD19,komuter_weekend,weekend_2310,1
KA15_KD19,komuter_weekend,weekend_2316,1
KA15_KD19,komuter_weekend,weekend_2318,1
KA15_KD19,komuter_weekend,weekend_2326,1
KA15_KD19,komuter_weekend,weekend_2330,1
KA15_KD19,komuter_weekend,weekend_2334,1
KA15_KD19,komuter_weekend,weekend_2338,1
KA15_KD19,komuter_weekend,weekend_2342,1
KA15_KD19,komuter_weekend,weekend_2346,1
KA15_KD19,komuter_weekend,weekend_2350,1
KA15_KD19,komuter_weekend,weekend_2354,1
KA15_KD19,komuter_weekend,weekend_2358,1
KA15_KD19,komuter_weekend,weekend_2362,1
KA15_KD19,komuter_weekend,weekend_2366,1
KA15_KD19,komuter_weekend,weekend_2370,1
KA15_KD19,komuter_weekend,weekend_2374,1
KA15_KD19,komuter_weekend,weekend_2378,1
KA15_KD19,komuter_weekend,weekend_2382,1
KC05_KB18,komuter_weekend,weekend_2207,0
KC05_KB18,komuter_weekend,weekend_2211,0
KC05_KB18,komuter_weekend,weekend_2213,0
KC05_KB18,komuter_weekend,weekend_2215,0
KC05_KB18,komuter_weekend,weekend_2219,0
KC05_KB18,komuter_weekend,weekend_2223,0
KC05_KB18,komuter_weekend,weekend_2225,0
KC05_KB18,komuter_weekend,weekend_2229,0
KC05_KB18,komuter_weekend,weekend_2233,0
KC05_KB18,komuter_weekend,weekend_2237,0
KC05_KB18,komuter_weekend,weekend_2243,0
KC05_KB18,komuter_weekend,weekend_2247,0
KC05_KB18,komuter_weekend,weekend_2251,0
KC05_KB18,komuter_weekend,weekend_2253,0
KC05_KB18,komuter_weekend,weekend_2257,0
KC05_KB18,komuter_weekend,weekend_2259,0
KC05_KB18,komuter_weekend,weekend_2261,0
KC05_KB18,komuter_weekend,weekend_2265,0
KC05_KB18,komuter_weekend,weekend_2271,0
KC05_KB18,komuter_weekend,weekend_2206,1
KC05_KB18,komuter_weekend,weekend_2208,1
KC05_KB18,komuter_weekend,weekend_2210,1
KC05_KB18,komuter_weekend,weekend_2212,1
KC05_KB18,komuter_weekend,weekend_2214,1
KC05_KB18,komuter_weekend,weekend_2216,1
KC05_KB18,komuter_weekend,weekend_2220,1
KC05_KB18,komuter_weekend,weekend_2224,1
KC05_KB18,komuter_weekend,weekend_2228,1
KC05_KB18,komuter_weekend,weekend_2232,1
KC05_KB18,komuter_weekend,weekend_2236,1
KC05_KB18,komuter_weekend,weekend_2240,1
KC05_KB18,komuter_weekend,weekend_2246,1
KC05_KB18,komuter_weekend,weekend_2248,1
KC05_KB18,komuter_weekend,weekend_2250,1
KC05_KB18,komuter_weekend,weekend_2254,1
KC05_KB18,komuter_weekend,weekend_2258,1
KC05_KB18,komuter_weekend,weekend_2262,1
KC05_KB18,komuter_weekend,weekend_2266,1
KC05_KB18,komuter_weekend,weekend_2270,1
100_47300,komuter_utara,2940,0
100_47300,komuter_utara,2944,0
100_47300,komuter_utara,2946,0
100_47300,komuter_utara,2948,0
100_47300,komuter_utara,2952,0
100_47300,komuter_utara,2958,0
100_47300,komuter_utara,2964,0
100_47300,komuter_utara,2968,0
100_47300,komuter_utara,2970,0
100_47300,komuter_utara,2972,0
100_47300,komuter_utara,2976,0
100_47300,komuter_utara,2978,0
100_47300,komuter_utara,2980,0
100_47300,komuter_utara,2982,0
100_47300,komuter_utara,2984,0
100_47300,komuter_utara,2986,0
100_47300,komuter_utara,2988,0
100_47300,komuter_utara,2994,0
100_47300,komuter_utara,2941,1
100_47300,komuter_utara,2943,1
